iter	RMSE
0	1.019629639
1	1.018184573
2	1.01191745
3	1.010479426
4	1.009224495
5	1.007891483
6	1.006371352
7	1.004841571
8	1.000048206
9	0.9987455139
10	0.9976145378
11	0.9966174405
12	0.9916121528
13	0.9899245984
14	0.9882963935
15	0.9872621283
16	0.9863169351
17	0.9825088328
18	0.9816228965
19	0.980610532
20	0.9795669234
21	0.9757871514
22	0.9749936636
23	0.9741655669
24	0.973117712
25	0.9724506861
26	0.971639648
27	0.968739237
28	0.9680417926
29	0.9653961163
30	0.9647623866
31	0.9636683091
32	0.9630756954
33	0.9621918881
34	0.9616375369
35	0.9593818518
36	0.9570026122
37	0.9563197044
38	0.9556404274
39	0.955005458
40	0.952608792
41	0.9521281265
42	0.9516727071
43	0.9513170321
44	0.9507588063
45	0.95017309
46	0.9494334278
47	0.9488370807
48	0.9472114355
49	0.9458787314
50	0.9454475506
51	0.9450305259
52	0.9445130067
53	0.9440664196
54	0.942908416
55	0.9425580648
56	0.9420094495
57	0.9405703898
58	0.9400706253
59	0.9395289018
60	0.9374797428
61	0.9370957827
62	0.9365983494
63	0.9346736351
64	0.9343164628
65	0.9340630467
66	0.933747677
67	0.9333043775
68	0.9327737991
69	0.9300384022
70	0.9290512505
71	0.9286537827
72	0.9277296503
73	0.9272627111
74	0.9241958763
75	0.9238627131
76	0.9235839745
77	0.9219462243
78	0.9193852397
79	0.9189848949
80	0.918158203
81	0.9172384247
82	0.9167915054
83	0.9162879103
84	0.9159892015
85	0.9150464526
86	0.9146814228
87	0.9143462296
88	0.914091423
89	0.9134942136
90	0.9114303172
91	0.9111852483
92	0.9104570101
93	0.9099649408
94	0.9089284898
95	0.9087267858
96	0.907395542
97	0.907066043
98	0.9067765532
99	0.9065514918
100	0.9053796075
101	0.9045147669
102	0.9042408927
103	0.9035641419
104	0.9033485223
105	0.9028907768
106	0.9022267529
107	0.9018970265
108	0.9015765624
109	0.9009630474
110	0.9003306475
111	0.9000095826
112	0.8996674713
113	0.8988970431
114	0.8985195611
115	0.8983774973
116	0.8981835263
117	0.8978922323
118	0.897200428
119	0.8963782752
120	0.8962168379
121	0.8958400757
122	0.8954664302
123	0.8952022151
124	0.8940758903
125	0.8937048774
126	0.892959155
127	0.8925470163
128	0.8910611486
129	0.8907131213
130	0.8904170906
131	0.890015157
132	0.8898309192
133	0.8892103934
134	0.8890065415
135	0.8887782534
136	0.8883772413
137	0.8879443343
138	0.8876687793
139	0.8873074512
140	0.8871394643
141	0.8869163899
142	0.8861450549
143	0.8858649551
144	0.8855202766
145	0.8852852361
146	0.8850194624
147	0.8848380974
148	0.8840262966
149	0.8834543795
150	0.8830880109
151	0.8828144054
152	0.8823703823
153	0.8817334141
154	0.8815751894
155	0.8808971109
156	0.8807362041
157	0.8805817079
158	0.8803007053
159	0.8791434737
160	0.8787559803
161	0.87860749
162	0.8783071967
163	0.878166852
164	0.8779178213
165	0.8776912712
166	0.8765838629
167	0.8762878618
168	0.8761377404
169	0.8745912307
170	0.8743146461
171	0.8738935242
172	0.8736315731
173	0.8733362636
174	0.873052811
175	0.8726907593
176	0.8720852583
177	0.8719038606
178	0.871690931
179	0.8715487095
180	0.8712839023
181	0.8701506688
182	0.8692418979
183	0.868930129
184	0.8684807254
185	0.8677578766
186	0.8667420912
187	0.8664707869
188	0.8661652305
189	0.8658929909
190	0.8656436602
191	0.8653809
192	0.8649778695
193	0.8646354809
194	0.8628909263
195	0.8622822115
196	0.8621538367
197	0.861912858
198	0.8616910148
199	0.86142105
200	0.861132549
201	0.8602651226
202	0.8594823878
203	0.859233228
204	0.8587688016
205	0.858601837
206	0.8583401311
207	0.858059272
208	0.8573533503
209	0.8570855825
210	0.8557571456
211	0.8553736081
212	0.8552523386
213	0.8545164433
214	0.8538576086
215	0.8533031625
216	0.8527295979
217	0.8524610169
218	0.852232776
219	0.8520181627
220	0.8493560037
221	0.8489591025
222	0.8487188028
223	0.8476766967
224	0.8473831138
225	0.8467044903
226	0.846491598
227	0.8459511024
228	0.8458354796
229	0.8453150666
230	0.8445038723
231	0.844242654
232	0.8437393841
233	0.8427313759
234	0.8421430948
235	0.8419385022
236	0.8416797632
237	0.841427022
238	0.8411865679
239	0.8409613125
240	0.8403235386
241	0.8399901063
242	0.8397729593
243	0.8394407208
244	0.8391960613
245	0.8387261051
246	0.8385313648
247	0.8375551707
248	0.8370032416
249	0.8367912836
250	0.8365430799
251	0.8361013088
252	0.8352088057
253	0.8349682736
254	0.8341004947
255	0.833900549
256	0.8337158632
257	0.8334584746
258	0.8309717793
259	0.8307474567
260	0.8305386274
261	0.8303454101
262	0.8300307928
263	0.829104062
264	0.8289290331
265	0.8280346044
266	0.8278032934
267	0.8272353348
268	0.8270136079
269	0.8260883869
270	0.8255850754
271	0.824979496
272	0.8247554955
273	0.8245584419
274	0.8244390322
275	0.8235973396
276	0.8233862474
277	0.8231853043
278	0.8228163379
279	0.8227212765
280	0.8225125411
281	0.822294588
282	0.8221285735
283	0.821935667
284	0.8211228237
285	0.8208833542
286	0.820396309
287	0.8201952632
288	0.8199956985
289	0.819757402
290	0.8194832386
291	0.8192716444
292	0.8188786424
293	0.8186830404
294	0.8185713419
295	0.8182780131
296	0.8174919505
297	0.8171105093
298	0.8167488887
299	0.8166579707
300	0.8161272389
301	0.8158293812
