iter	Passed	Remaining
0	26	26773
1	44	22019
2	59	19827
3	73	18402
4	88	17606
5	123	20450
6	139	19792
7	154	19202
8	171	18917
9	188	18708
10	205	18486
11	221	18275
12	238	18088
13	253	17829
14	268	17604
15	283	17456
16	300	17359
17	317	17336
18	334	17251
19	349	17131
20	368	17179
21	388	17288
22	408	17367
23	427	17380
24	444	17341
25	460	17264
26	476	17170
27	493	17127
28	511	17124
29	528	17098
30	546	17090
31	563	17052
32	581	17025
33	600	17057
34	616	16994
35	634	16992
36	652	16986
37	670	16972
38	688	16965
39	707	16968
40	725	16979
41	744	16990
42	763	16991
43	781	16975
44	800	16987
45	818	16979
46	838	16995
47	856	16992
48	876	17010
49	893	16976
50	911	16954
51	926	16898
52	942	16848
53	959	16800
54	977	16796
55	993	16743
56	1009	16707
57	1027	16689
58	1043	16636
59	1057	16574
60	1077	16585
61	1094	16556
62	1110	16515
63	1128	16502
64	1144	16465
65	1159	16406
66	1173	16346
67	1188	16283
68	1203	16232
69	1220	16220
70	1235	16171
71	1250	16123
72	1266	16080
73	1281	16037
74	1299	16023
75	1314	15976
76	1328	15922
77	1345	15902
78	1364	15906
79	1380	15870
80	1394	15822
81	1408	15770
82	1423	15730
83	1438	15688
84	1454	15652
85	1470	15632
86	1487	15613
87	1503	15584
88	1518	15547
89	1535	15522
90	1551	15500
91	1566	15464
92	1583	15444
93	1600	15422
94	1616	15398
95	1631	15360
96	1648	15348
97	1665	15324
98	1680	15294
99	1695	15255
100	1711	15235
101	1727	15206
102	1743	15179
103	1758	15151
104	1773	15114
105	1788	15084
106	1803	15054
107	1819	15028
108	1835	15000
109	1851	14982
110	1868	14962
111	1882	14928
112	1898	14902
113	1914	14876
114	1929	14848
115	1943	14813
116	1958	14781
117	1973	14747
118	1988	14723
119	2005	14704
120	2019	14672
121	2035	14649
122	2051	14630
123	2068	14611
124	2083	14587
125	2099	14565
126	2117	14558
127	2134	14538
128	2149	14511
129	2164	14487
130	2181	14469
131	2198	14453
132	2214	14434
133	2231	14421
134	2246	14397
135	2263	14379
136	2280	14364
137	2295	14335
138	2309	14305
139	2326	14288
140	2341	14267
141	2356	14236
142	2371	14212
143	2386	14187
144	2402	14167
145	2419	14150
146	2438	14149
147	2454	14130
148	2471	14115
149	2487	14098
150	2503	14077
151	2519	14055
152	2534	14032
153	2550	14011
154	2564	13980
155	2578	13950
156	2592	13918
157	2605	13885
158	2621	13863
159	2636	13842
160	2651	13816
161	2665	13786
162	2679	13760
163	2694	13737
164	2710	13717
165	2726	13699
166	2743	13685
167	2761	13675
168	2775	13649
169	2791	13628
170	2806	13604
171	2821	13583
172	2836	13558
173	2850	13532
174	2865	13510
175	2893	13546
176	2926	13606
177	2944	13596
178	2961	13581
179	2982	13584
180	3007	13609
181	3037	13650
182	3065	13686
183	3090	13707
184	3114	13722
185	3135	13722
186	3159	13735
187	3180	13735
188	3204	13752
189	3229	13766
190	3250	13767
191	3271	13767
192	3295	13779
193	3318	13789
194	3345	13811
195	3370	13825
196	3394	13836
197	3421	13860
198	3446	13872
199	3470	13881
200	3494	13889
201	3515	13888
202	3539	13894
203	3564	13910
204	3600	13962
205	3626	13978
206	3655	14005
207	3684	14027
208	3714	14058
209	3744	14086
210	3774	14113
211	3802	14132
212	3824	14130
213	3850	14140
214	3875	14148
215	3902	14164
216	3930	14182
217	3951	14173
218	3973	14170
219	3997	14174
220	4023	14184
221	4049	14193
222	4072	14189
223	4096	14190
224	4118	14184
225	4142	14187
226	4165	14185
227	4189	14186
228	4213	14186
229	4236	14184
230	4263	14193
231	4289	14200
232	4314	14201
233	4341	14210
234	4364	14206
235	4386	14200
236	4410	14198
237	4435	14201
238	4459	14199
239	4483	14197
240	4507	14197
241	4528	14184
242	4552	14183
243	4576	14179
244	4599	14173
245	4623	14170
246	4646	14166
247	4673	14170
248	4699	14175
249	4725	14176
250	4751	14178
251	4776	14177
252	4802	14180
253	4826	14176
254	4849	14166
255	4870	14153
256	4894	14149
257	4917	14142
258	4942	14140
259	4962	14123
260	4983	14109
261	5006	14102
262	5029	14093
263	5051	14083
264	5073	14072
265	5098	14069
266	5117	14050
267	5140	14040
268	5162	14029
269	5186	14022
270	5208	14010
271	5231	14001
272	5255	13994
273	5280	13991
274	5302	13979
275	5328	13978
276	5350	13965
277	5376	13962
278	5396	13946
279	5420	13939
280	5444	13931
281	5468	13924
282	5494	13920
283	5518	13911
284	5543	13906
285	5569	13904
286	5596	13903
287	5621	13896
288	5644	13886
289	5668	13878
290	5691	13868
291	5715	13859
292	5742	13856
293	5762	13838
294	5785	13825
295	5808	13814
296	5832	13805
297	5855	13793
298	5877	13779
299	5894	13754
300	5921	13751
301	5943	13736
302	5966	13725
303	5990	13715
304	6010	13697
305	6032	13680
306	6057	13673
307	6083	13668
308	6109	13661
309	6132	13650
310	6154	13634
311	6178	13625
312	6205	13619
313	6228	13607
314	6254	13601
315	6279	13592
316	6305	13585
317	6327	13569
318	6351	13559
319	6376	13549
320	6399	13536
321	6424	13527
322	6447	13513
323	6468	13495
324	6492	13484
325	6517	13474
326	6542	13465
327	6569	13458
328	6595	13451
329	6624	13449
330	6649	13440
331	6676	13433
332	6703	13426
333	6729	13419
334	6755	13409
335	6779	13397
336	6801	13381
337	6827	13372
338	6853	13363
339	6880	13356
340	6901	13338
341	6925	13324
342	6949	13310
343	6971	13293
344	6993	13277
345	7018	13265
346	7041	13250
347	7066	13240
348	7090	13225
349	7115	13214
350	7139	13201
351	7161	13183
352	7181	13161
353	7202	13143
354	7225	13127
355	7249	13113
356	7271	13097
357	7296	13084
358	7322	13074
359	7345	13059
360	7366	13040
361	7390	13025
362	7413	13009
363	7435	12991
364	7458	12975
365	7483	12963
366	7509	12952
367	7533	12938
368	7557	12923
369	7584	12913
370	7611	12904
371	7639	12896
372	7663	12882
373	7687	12867
374	7711	12851
375	7737	12841
376	7761	12826
377	7787	12813
378	7815	12805
379	7842	12796
380	7872	12790
381	7899	12780
382	7928	12772
383	7955	12761
384	7979	12746
385	8000	12725
386	8023	12709
387	8046	12692
388	8070	12676
389	8092	12656
390	8114	12638
391	8138	12623
392	8164	12609
393	8188	12593
394	8211	12576
395	8234	12558
396	8259	12545
397	8285	12532
398	8313	12521
399	8337	12505
400	8364	12494
401	8391	12482
402	8419	12472
403	8444	12457
404	8470	12444
405	8493	12426
406	8518	12411
407	8545	12399
408	8570	12384
409	8605	12383
410	8626	12363
411	8651	12347
412	8676	12331
413	8703	12318
414	8729	12305
415	8754	12289
416	8781	12277
417	8808	12263
418	8832	12247
419	8858	12232
420	8885	12220
421	8907	12200
422	8930	12181
423	8956	12167
424	8981	12151
425	9006	12136
426	9033	12122
427	9058	12106
428	9084	12091
429	9109	12075
430	9133	12057
431	9156	12039
432	9181	12023
433	9207	12007
434	9230	11988
435	9253	11969
436	9277	11952
437	9301	11935
438	9324	11915
439	9349	11899
440	9374	11882
441	9399	11865
442	9423	11848
443	9448	11832
444	9477	11819
445	9500	11801
446	9526	11785
447	9551	11768
448	9572	11746
449	9597	11730
450	9622	11712
451	9645	11694
452	9667	11673
453	9693	11658
454	9718	11640
455	9744	11625
456	9767	11605
457	9791	11587
458	9815	11568
459	9840	11551
460	9862	11531
461	9886	11513
462	9909	11493
463	9935	11476
464	9960	11459
465	9986	11443
466	10012	11427
467	10036	11408
468	10061	11391
469	10086	11373
470	10111	11356
471	10135	11338
472	10160	11320
473	10184	11301
474	10209	11283
475	10236	11268
476	10261	11251
477	10288	11235
478	10314	11218
479	10338	11199
480	10361	11180
481	10387	11163
482	10410	11143
483	10435	11125
484	10461	11108
485	10486	11090
486	10512	11073
487	10540	11059
488	10565	11040
489	10589	11021
490	10613	11003
491	10637	10983
492	10662	10965
493	10687	10947
494	10713	10930
495	10738	10911
496	10763	10893
497	10789	10875
498	10810	10853
499	10833	10833
500	10856	10813
